Format Version,1.23,Take Name,601_no1,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2023-04-13 07.39.33.825 午征ECapture Start Frame,835242,Total Frames in Take,73413,Total Exported Frames,72923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
, ,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 2255,Unlabeled 2255,Unlabeled 2255,,,,,,,,,,,,,,,,,,
,ID,1E2D05B9E45472311EE,1E2D05B9E45472311EE,1E2D05B9E45472311EE,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,
562,5.62,0.976577,1.744358,1.126216,,,,,,,,,,,,,,,,,,
563,5.63,0.985564,1.761016,1.124508,,,,,,,,,,,,,,,,,,
564,5.64,0.994619,1.777135,1.123381,,,,,,,,,,,,,,,,,,
565,5.65,1.003744,1.792684,1.122811,,,,,,,,,,,,,,,,,,
566,5.66,1.012941,1.807631,1.122779,,,,,,,,,,,,,,,,,,
567,5.67,1.022213,1.821945,1.123266,,,,,,,,,,,,,,,,,,
568,5.68,1.03156,1.8356,1.124256,,,,,,,,,,,,,,,,,,
569,5.69,1.040984,1.848571,1.125734,,,,,,,,,,,,,,,,,,
570,5.7,1.050482,1.860835,1.127688,,,,,,,,,,,,,,,,,,
571,5.71,1.060053,1.872374,1.130105,,,,,,,,,,,,,,,,,,
572,5.72,1.069695,1.88317,1.132976,,,,,,,,,,,,,,,,,,
573,5.73,1.079403,1.89321,1.136291,,,,,,,,,,,,,,,,,,
574,5.74,1.089171,1.902482,1.140041,,,,,,,,,,,,,,,,,,
575,5.75,1.098994,1.910978,1.144218,,,,,,,,,,,,,,,,,,
576,5.76,1.108865,1.91869,1.148811,,,,,,,,,,,,,,,,,,
577,5.77,1.118775,1.925615,1.153812,,,,,,,,,,,,,,,,,,
578,5.78,1.128715,1.931749,1.159209,,,,,,,,,,,,,,,,,,
579,5.79,1.138677,1.937091,1.164991,,,,,,,,,,,,,,,,,,
580,5.8,1.14865,1.941642,1.171145,,,,,,,,,,,,,,,,,,
581,5.81,1.158626,1.945403,1.177658,,,,,,,,,,,,,,,,,,
582,5.82,1.168596,1.948379,1.184519,,,,,,,,,,,,,,,,,,
583,5.83,1.17855,1.950574,1.191713,,,,,,,,,,,,,,,,,,
584,5.84,1.188483,1.951994,1.199229,,,,,,,,,,,,,,,,,,
585,5.85,1.198389,1.952646,1.207058,,,,,,,,,,,,,,,,,,
586,5.86,1.208262,1.952538,1.21519,,,,,,,,,,,,,,,,,,
587,5.87,1.218101,1.951681,1.22362,,,,,,,,,,,,,,,,,,
588,5.88,1.227904,1.950083,1.232344,,,,,,,,,,,,,,,,,,
589,5.89,1.237671,1.947758,1.241362,,,,,,,,,,,,,,,,,,
590,5.9,1.247405,1.944716,1.250674,,,,,,,,,,,,,,,,,,
591,5.91,1.257107,1.940973,1.260287,,,,,,,,,,,,,,,,,,
592,5.92,1.266781,1.936541,1.270206,,,,,,,,,,,,,,,,,,
593,5.93,1.276429,1.931437,1.280443,,,,,,,,,,,,,,,,,,
594,5.94,1.286056,1.925678,1.291008,,,,,,,,,,,,,,,,,,
595,5.95,1.295665,1.919282,1.301916,,,,,,,,,,,,,,,,,,
596,5.96,1.305257,1.912268,1.313182,,,,,,,,,,,,,,,,,,
597,5.97,1.314834,1.904656,1.324823,,,,,,,,,,,,,,,,,,
598,5.98,1.324396,1.89647,1.336856,,,,,,,,,,,,,,,,,,
599,5.99,1.333943,1.887732,1.349301,,,,,,,,,,,,,,,,,,
600,6,1.343471,1.878468,1.362177,,,,,,,,,,,,,,,,,,
601,6.01,1.352978,1.868703,1.375504,,,,,,,,,,,,,,,,,,
602,6.02,1.362458,1.858464,1.389301,,,,,,,,,,,,,,,,,,
603,6.03,1.371907,1.847782,1.403589,,,,,,,,,,,,,,,,,,
604,6.04,1.381319,1.836685,1.418385,,,,,,,,,,,,,,,,,,
605,6.05,1.390686,1.825206,1.433709,,,,,,,,,,,,,,,,,,
606,6.06,1.400003,1.813378,1.449578,,,,,,,,,,,,,,,,,,
607,6.07,1.409265,1.801236,1.466006,,,,,,,,,,,,,,,,,,
608,6.08,1.418466,1.788817,1.483008,,,,,,,,,,,,,,,,,,
609,6.09,1.427602,1.776159,1.500594,,,,,,,,,,,,,,,,,,
610,6.1,1.436671,1.763301,1.518776,,,,,,,,,,,,,,,,,,
611,6.11,1.445674,1.750283,1.537558,,,,,,,,,,,,,,,,,,
612,6.12,1.45461,1.737147,1.556946,,,,,,,,,,,,,,,,,,
