step,position_x,position_y,head_direction,pulse_direction
60,5.833680711080479,6.279807774713469,-35,-45
61,5.919717176533136,6.156934968070121,-55,-75
62,5.945764403183175,6.009213805118289,-80,-105
63,5.945764403183175,5.859213805118289,-90,-100
64,5.989065673372397,5.834213805118289,-30,30
65,6.138494878086159,5.82114044370614,-5,20
66,6.159625791173194,5.775825054354308,-65,-125
67,6.130946969355642,5.734867452139858,-125,175
68,6.008074162712293,5.6488309866872015,-145,-165
69,5.872127994656796,5.585438247426096,-155,-165
70,5.724406831704965,5.559391020776057,-170,175
71,5.583452938587079,5.5080879992772065,-160,-150
72,5.434023733873317,5.521161360689355,175,150
73,5.286302570921485,5.547208587339394,170,165
74,5.150356402865988,5.6106013266004995,155,140
75,5.005467528922628,5.649424183365878,165,175
76,4.882594722279279,5.735460648818535,145,125
77,4.733165517565517,5.748534010230683,175,-155
78,4.59721934951002,5.685141270969578,-155,-125
79,4.461273181454523,5.621748531708473,-155,-155
80,4.375236716001866,5.498875725065124,-125,-95
81,4.300236716001866,5.368971914497458,-120,-115
82,4.214200250549209,5.24609910785411,-125,-130
83,4.139200250549209,5.116195297286444,-120,-115
84,4.0642002505492085,4.986291486718778,-120,-120
85,3.9677821090962277,4.871384820250931,-130,-140
86,3.8927821090962276,4.741481009683265,-120,-110
87,3.8293893698351225,4.605534841627768,-115,-110
88,3.803342143185083,4.457813678675937,-100,-85
89,3.777294916535044,4.310092515724105,-100,-100
90,3.7903682779471923,4.160663311010343,-85,-70
91,3.803441639359341,4.011234106296581,-85,-85
92,3.7646187825939625,3.866345232353221,-105,-125
93,3.7906660092440023,3.7186240694013897,-80,-55
94,3.751843152478624,3.5737351954580294,-105,-130
95,3.751843152478624,3.4237351954580295,-90,-75
96,3.7387697910664754,3.2743059907442675,-95,-100
97,3.6637697910664753,3.1444021801766016,-120,-145
98,3.612466769567625,3.003448287058715,-110,-100
99,3.506400752389643,2.897382269880733,-135,-160
100,3.3914940859217966,2.8009641284277524,-140,-145
101,3.268621279278448,2.7149276629750956,-145,-150
102,3.1457484726350993,2.6288911975224387,-145,-145
103,3.0158446620674333,2.5538911975224385,-150,-155
104,2.8859408514997673,2.4788911975224384,-150,-150
105,2.7499946834442697,2.4154984582613332,-155,-160
106,2.6200908728766037,2.340498458261333,-150,-145
107,2.6200908728766037,2.2904984582613332,-90,-30
108,2.663392143065826,2.2654984582613333,-30,30
109,2.808281017009186,2.2266756014959554,-15,0
110,2.957710221722948,2.213602240083807,-5,5
111,3.107710221722948,2.213602240083807,0,5
112,3.2554313846747793,2.2396494667338462,10,20
113,3.370338051142626,2.336067608186827,40,70
114,3.500241861710292,2.411067608186827,30,20
115,3.6411957548281784,2.4623706296856773,20,10
116,3.7860846287715386,2.501193486451055,15,10
117,3.7990255810266644,2.549489777765509,75,135
118,3.760202724261286,2.694378651708869,105,135
119,3.786249950911326,2.8420998146607004,80,55
120,3.861249950911326,2.9720036252283664,60,40
121,3.9362499509113262,3.1019074357960323,60,60
122,3.9362499509113262,3.2519074357960323,90,120
123,3.9875529724101764,3.3928613289139187,70,50
124,3.9875529724101764,3.5428613289139186,90,110
125,4.026375829175555,3.687750202857279,75,60
126,4.000328602525515,3.83547136580911,100,125
127,4.013401963937664,3.984900570522872,85,70
128,4.000328602525515,4.134329775236634,95,105
129,3.961505745760137,4.279218649179994,105,115
130,3.898113006499032,4.415164817235492,115,125
131,3.8720657798489926,4.562885980187323,100,85
132,3.8981130064990324,4.710607143139154,80,60
133,3.9494160279978825,4.85156103625704,70,60
134,3.962489389410031,5.000990240970802,85,100
135,3.911186367911181,5.141944134088688,110,135
136,3.8723635111458026,5.2868330080320485,105,100
137,3.7662974939678207,5.39289902521003,135,165
138,3.6912974939678205,5.522802835777696,120,105
139,3.5613936834001545,5.5978028357776966,150,-180
140,3.4753572179474976,5.720675642421045,125,100
141,3.339411049892,5.78406838168215,155,-175
142,3.1945221759486397,5.822891238447529,165,175
143,3.071649369305291,5.9089277039001855,145,125
144,2.9239282063534597,5.934974930550225,170,-165
145,2.7829743132355733,5.883671909051374,-160,-130
146,2.6530705026679073,5.808671909051374,-150,-140
147,2.578070502667907,5.678768098483708,-120,-90
148,2.503070502667907,5.548864287916042,-120,-120
149,2.503070502667907,5.398864287916042,-90,-60
150,2.4396777634068023,5.262918119860545,-115,-140
151,2.452751124818951,5.113488915146783,-85,-55
152,2.491573981584329,4.968600041203422,-75,-65
153,2.577610447036986,4.845727234560074,-55,-35
154,2.6164333038023644,4.7008383606167135,-75,-95
155,2.6798260430634695,4.564892192561216,-65,-55
156,2.7432187823245746,4.428946024505719,-65,-65
157,2.8660915889679233,4.342909559053062,-35,-5
158,3.0070454820858097,4.291606537554212,-20,-5
159,3.154766645037641,4.265559310904172,-10,0
160,3.304766645037641,4.265559310904172,0,10
161,3.434670455605307,4.3405593109041725,30,60
162,3.5706166236608046,4.403952050165278,25,20
163,3.715505497604165,4.442774906930656,15,5
164,3.860394371547525,4.481597763696034,15,15
165,3.966460388725507,4.587663780874016,45,75
166,4.072526405903489,4.693729798051998,45,45
167,4.111349262668868,4.838618671995358,75,105
168,4.072526405903489,4.983507545938719,105,135
169,4.009133666642384,5.119453713994216,115,125
170,3.8942270001745376,5.215871855447197,140,165
171,3.8192270001745374,5.3457756660148625,120,100
172,3.6893231896068714,5.420775666014863,150,-180
173,3.5393231896068715,5.420775666014863,-180,-150
174,3.4094193790392056,5.3457756660148625,-150,-120
175,3.313001237586225,5.230868999547016,-130,-110
176,3.2380012375862246,5.10096518897935,-120,-110
177,3.224927876174076,4.951535984265588,-95,-70
178,3.1988806495240367,4.803814821313757,-100,-105
179,3.2249278761740765,4.656093658361925,-80,-60
180,3.2762308976729266,4.515139765244039,-70,-60
181,3.3622673631255835,4.392266958600691,-55,-40
182,3.498213531181081,4.3288742193395855,-25,5
183,3.6391674242989676,4.277571197840735,-20,-15
184,3.7885966290127295,4.2906445592528835,5,30
185,3.9185004395803955,4.365644559252884,30,55
186,4.004536905033053,4.488517365896232,55,80
187,4.134440715600719,4.5635173658962325,30,5
188,4.275394608718605,4.614820387395083,20,10
189,4.416348501836491,4.666123408893934,20,20
190,4.565777706550253,4.679196770306082,5,-10
191,4.706731599668139,4.730499791804933,20,35
192,4.856160804381901,4.717426430392784,-5,-30
193,5.003881967333732,4.7434736570428235,10,25
194,5.153311172047494,4.730400295630675,-5,-20
195,5.301032334999325,4.704353068980636,-10,-15
196,5.423905141642674,4.618316603527979,-35,-60
197,5.559851309698171,4.554923864266874,-25,-15
198,5.656269451151152,4.440017197799027,-50,-75
199,5.779142257794501,4.35398073234637,-35,-20
