Step,Convergence_Value
121,-120321359.77151376
122,-120338667.81159943
123,-120357599.58585593
124,-120364435.67811503
125,-120371114.45717321
126,-120374432.70042564
127,-120377327.7080821
128,-120380157.76458925
129,-120864118.15734313
130,-121028021.84682363
131,-121159464.93954624
132,-121242546.52302447
133,-121636942.3596271
134,-121983176.61715405
135,-122244112.87154722
136,-122528767.10521054
137,-122756737.90507257
138,-122972026.70352946
139,-123046916.51833192
140,-123224061.64878598
141,-123373554.4876369
142,-123530475.30494393
143,-123665215.34227452
144,-123826040.34436747
145,-123938765.4302221
146,-124026405.47253911
147,-124108901.17230263
148,-124184938.36286817
149,-124328666.59015565
150,-124543929.05478346
151,-124784681.01280114
152,-124965316.39855652
153,-125098794.02064465
154,-125187579.8855085
155,-125264358.3297643
156,-125329825.49930999
157,-125385089.98757125
158,-125435202.1071797
159,-125472847.64758922
160,-125497197.33286592
161,-125504233.28866376
162,-125509551.91716607
163,-125530377.64169236
164,-125547092.29395218
165,-125560939.29002185
166,-125573776.18016903
167,-125585444.3328255
168,-125601208.78176114
169,-125620223.9722377
170,-125636261.55665004
171,-125659912.90898074
172,-125681400.07420436
173,-125688187.61755347
174,-125694902.5462772
175,-125699616.76295958
176,-125710782.88683201
177,-125719903.01986066
178,-125729508.43135384
179,-125738335.96051048
180,-125747245.62856957
181,-125768852.73257935
182,-125776946.73680066
183,-125783071.65435515
184,-125789297.75317635
185,-125793515.61836451
186,-125798402.5565388
187,-125801871.86518472
188,-125803820.33112933
189,-125847111.43037708
190,-125901455.11274268
191,-125954765.53613131
192,-125995649.6458798
193,-126103748.23624332
194,-126147515.37012583
195,-126185040.17763631
196,-126270011.14332633
197,-126297767.11093019
198,-126326415.99070524
199,-126347473.58170567
200,-126365951.63534203
201,-126383716.25746207
202,-126402169.34944545
203,-126435335.24772663
204,-126452416.3414222
205,-126474243.1636434
206,-126496552.41190332
207,-126525365.34521106
208,-126551465.31375812
209,-126578281.50246522
210,-126606825.28349759
211,-126620680.68867676
212,-126631727.40208678
213,-126642072.3570531
214,-126652174.33872992
215,-126662306.14137627
216,-126671815.05896354
217,-126679877.85150628
218,-126687466.42717052
219,-126693222.6283583
220,-126697350.13774087
221,-126700356.0848416
222,-126733470.52644491
